Module,Provisioner,Category,Command Injection via Unsanitized Input,Execution of Unverified Programs,Excessive Permissions,Unsanitized Path Traversal,File Content Injection,Arbitrary Resource Interaction,Insecure Handling of Secrets,Insecure Communication,Non-Idempotent Execution,Inconsistent Configuration
GeminiWind-static-website-aws-1.0.0,local-exec,high_low,1,0,,1,,1,,,,1
masterpointio-client-vpn-aws-0.3.1,local-exec,high_low,1,0,,,,1,,,1,1
matti-urlparse-external-0.2.0,local-exec,high_low,,1,,,,,,,,
metadevpro-sqlserver-seed-azurerm-1.0.0,local-exec,high_low,1,0,,1,,,1,,,
Chhed13-consul-service-aws-0.3.2,remote-exec,high_low,,1,,,1,,1,,1,1
sailthru-eks-auth-aws-0.0.1,data-external,high_low,,1,,,,,1,,,
castai-aks-castai-6.0.1,local-exec,high_low,1,0,,,,,1,,,
linode-k8s-linode-0.3.0,local-exec,medium_high,1,1,,,,,1,,1,1
linode-k8s-linode-0.3.0,remote-exec,medium_high,1,1,,,,,1,,1,1
linode-k8s-linode-0.3.0,data-external,medium_high,1,1,,,,,1,,,
deyaeddin-k3s-ext-hcloud-0.0.2,local-exec,medium_high,1,0,,,,1,1,,,1
srb3-chef-automate-populate-linux-0.13.1,remote-exec,medium_high,1,1,,1,,,1,,,1
1nval1dctf-eks-windows-aws-0.4.0,local-exec,medium_high,,0,,,,,,,,1
datarootsio-azure-datalake-module-0.5.13,local-exec,medium_high,,1,,,,1,,,,1
slarimore02-avi-controller-azure-azurerm-1.0.29,local-exec,medium_medium,1,1,,,,,1,1,,1
slarimore02-avi-controller-azure-azurerm-1.0.29,remote-exec,medium_medium,,1,,,,,1,,,1
T-Systems-MMS-frontdoor-azurerm-2.1.3,local-exec,medium_medium,1,0,,,,1,,,,1
imperva-dsf-sonar-upgrader-aws-1.7.16,local-exec,medium_low,1,0,,1,,,,,1,1
cloud-native-toolkit-vpc-ibm-1.17.1,local-exec,medium_low,,0,,,,,,,,
armorfret-algo-base-linode-0.0.5,remote-exec,medium_low,1,1,,,,,,,,1
rcsfc-vpc-ec2-s3-aws-1.0.2,local-exec,medium_low,1,0,,1,,,,,,1
reifnir-static-site-azurerm-3.3.1,local-exec,medium_low,,0,,,,,,,,
elestio-examples-keycloak-cluster-elestio-1.2.0,remote-exec,low_high,,0,,,,,1,,1,1
lrivallain-vcsa-vsphere-0.1.2,local-exec,low_high,1,1,,,,,1,,,
